empnum,costcenterlv2,effectivedate
1277,CCO_Infrastructure Compliance,2022-11-01
1277,Compliance Operations,
1278,Customer Experience,2023-01-01
1278,Customer Experience,2022-11-01
1278,Customer Experience,
1279,Customer Experience,
1280,Customer Experience,
1281,Customer Experience,2023-01-01
1281,Customer Experience,2022-11-01
1281,Customer Experience,
1282,Customer Experience,2023-01-01
1282,Customer Experience,2022-11-01
1282,Customer Experience,
1283,,
1284,Customer Experience,
1285,Customer Experience,2023-01-01
1285,Customer Experience,2022-11-01
1285,Customer Experience,
1286,Customer Experience,
1287,Customer Experience,2023-01-01
1287,Customer Experience,2022-11-01
1287,Customer Experience,
1288,Customer Experience,
1289,,
1290,,
1291,Customer Experience,
1292,Customer Experience,2023-01-01
1292,Customer Experience,2022-11-01
1292,Customer Experience,
1293,Customer Experience,2023-01-01
1293,Customer Experience,2022-11-01
1293,Customer Experience,
1294,Customer Experience,2023-01-01
1294,Customer Experience,2022-11-01
1294,Customer Experience,
1295,Customer Experience,2023-01-01
1295,Customer Experience,2022-11-01
1295,Customer Experience,
1296,Customer Experience,2023-01-01
1296,Customer Experience,2022-11-01
1296,Customer Experience,
1297,Customer Experience,
1298,,
1299,Customer Experience,2023-01-01
1299,Customer Experience,2022-11-01
1299,Customer Experience,
1300,Customer Experience,
1301,Customer Experience,2023-01-01
1301,Customer Experience,2022-11-01
1301,Customer Experience,
1302,Customer Experience,
1303,Customer Experience,2023-01-01
1303,Customer Experience,2022-11-01
1303,Customer Experience,
1304,Customer Experience,
1305,Customer Experience,2022-11-01
1305,Customer Experience,
1306,,
1307,Customer Experience,2023-01-01
1307,Customer Experience,2022-11-01
1307,Customer Experience,
1308,Customer Experience,2023-01-01
1308,Customer Experience,2022-11-01
1308,Customer Experience,
1309,,
1310,Customer Experience,2023-01-01
1310,Customer Experience,2022-11-01
1310,Customer Experience,
1311,Customer Experience,
1312,Customer Experience,2023-01-01
1312,Customer Experience,2022-11-01
1312,Customer Experience,
1313,Customer Experience,
1314,Customer Experience,2023-01-01
1314,Customer Experience,2022-11-01
1314,Customer Experience,
1315,,
1316,Customer Experience,2023-01-01
1316,Customer Experience,2022-11-01
1316,Customer Experience,
1317,Customer Experience,2023-01-01
1317,Customer Experience,2022-11-01
1317,Customer Experience,
1318,Customer Experience,
1319,Customer Experience,2023-01-01
1319,Customer Experience,2022-11-01
1319,Customer Experience,
1320,,
1321,Customer Experience,2023-01-01
1321,Customer Experience,2022-11-01
1321,Customer Experience,
1322,IT Infrastructure & Operations,2022-11-01
1322,Customer Experience,
1323,Customer Experience,2023-01-01
1323,Customer Experience,2022-11-01
1323,Customer Experience,
1324,Customer Experience,
1325,Customer Experience,2023-01-01
1325,Customer Experience,2022-11-01
1325,Customer Experience,
1326,Customer Experience,
1327,Customer Experience,
1328,Customer Experience,
1329,Customer Experience,2023-01-01
1329,Customer Experience,2022-11-01
1329,Customer Experience,
1330,Customer Experience,2023-01-01
1330,Customer Experience,2022-11-01
1330,Customer Experience,
1331,,
1332,,
1333,Customer Experience,2023-01-01
1333,Customer Experience,2022-11-01
1333,Customer Experience,
1334,Customer Experience,2023-01-01
1334,Customer Experience,2022-11-01
1334,Customer Experience,
1335,Customer Experience,2023-01-01
1335,Customer Experience,2022-11-01
1335,Customer Experience,
1336,Customer Experience,2023-01-01
1336,Customer Experience,2022-11-01
1336,Customer Experience,
1337,Customer Experience,
1338,Customer Experience,2023-01-01
1338,Customer Experience,2022-11-01
1338,Customer Experience,
1339,,
1340,Customer Experience,2023-01-01
1340,Customer Experience,2022-11-01
1340,Customer Experience,
1341,Customer Experience,2023-01-01
1341,Customer Experience,2022-11-01
1341,Customer Experience,
1342,Customer Experience,2023-01-01
1342,Customer Experience,2022-11-01
1342,Customer Experience,
1343,Customer Experience,2023-01-01
1343,Customer Experience,2022-11-01
1343,Customer Experience,
1344,Customer Experience,2023-01-01
1344,Customer Experience,2022-11-01
1344,Customer Experience,
1345,Customer Experience,2023-01-01
1345,Customer Experience,2022-11-01
1345,Customer Experience,
1346,Customer Experience,2022-11-01
1346,Customer Experience,
1347,Customer Experience,
1348,Customer Experience,
1349,Customer Experience,2023-01-01
1349,Customer Experience,2022-11-01
1349,Customer Experience,
1350,,
1351,Customer Experience,
1352,,
1353,,
1354,Customer Experience,
1355,Customer Experience,2023-01-01
1355,Customer Experience,2022-11-01
1355,Customer Experience,
1356,Customer Experience,2023-01-01
1356,Customer Experience,2022-11-01
1356,Customer Experience,
1357,Customer Experience,
1358,Customer Experience,2023-01-01
1358,Customer Experience,2022-11-01
1358,Customer Experience,
1359,Customer Experience,
1360,Customer Experience,
1361,Customer Experience,2023-01-01
1361,Customer Experience,2022-11-01
1361,Customer Experience,
1362,Customer Experience,
1363,Customer Experience,2023-01-01
1363,Customer Experience,2022-11-01
1363,Customer Experience,
1364,Customer Experience,2023-01-01
1364,Customer Experience,2022-11-01
1364,Customer Experience,
1365,Customer Experience,
1366,Customer Experience,2023-01-01
1366,Customer Experience,2022-11-01
1366,Customer Experience,
1367,Customer Experience,2023-01-01
1367,Customer Experience,2022-11-01
1367,Customer Experience,
1368,Customer Experience,
1369,Customer Experience,
1370,Customer Experience,
1371,Customer Experience,2023-01-01
1371,Customer Experience,2022-11-01
1371,Customer Experience,
1372,Customer Experience,2023-01-01
1372,Customer Experience,2022-11-01
1372,Customer Experience,
1373,,
1374,Customer Experience,2022-11-01
1374,Customer Experience,
1375,Customer Experience,2023-01-01
1375,Customer Experience,2022-11-01
1375,Customer Experience,
1376,Customer Experience,2023-01-01
1376,Customer Experience,2022-11-01
1376,Customer Experience,
1377,,
1378,,
1379,Customer Experience,2023-01-01
1379,Customer Experience,2022-11-01
1379,Customer Experience,
1380,Customer Experience,
1381,Customer Experience,
1382,Customer Experience,
1383,Quant Trading Desk Spot,2022-11-01
1383,Quant Trading,
1384,,
1385,Finance and Accounting,2022-11-01
1385,Finance and Accounting,
1386,Legal,2022-11-01
1386,Legal,
1387,Product QA,2022-11-01
1387,Product,2022-06-15
1387,New Venture Operations,
1388,Main App Tech,2022-11-01
1388,Tech,2022-07-14
1388,New Venture Operations,
1389,Others Tech,2022-11-01
1389,Tech,
1390,Exchange and Derivatives Tech,2022-11-01
1390,Tech,
1391,Main App Tech,2022-11-01
1391,Tech,
1392,,
1393,Information Security,
1394,Human Resources,2022-11-01
1394,Human Resources,
1395,Human Resources,2022-11-01
1395,Human Resources,
1396,Growth,
1397,New Venture Operations,
1398,Finance and Accounting,2022-11-01
1398,Finance and Accounting,
1399,Product Management,2022-11-01
1399,Product,
1400,Marketing,2022-11-01
1400,Marketing,
1401,,
1402,Information Security,
1403,IT Infrastructure & Operations,2022-11-01
1403,Information Security,
1404,Community Management,2022-11-01
1404,Community Management Department,
1405,Blockchain,
1406,Risk Management,2023-01-01
1406,Risk Management,2022-11-01
1406,Risk Management,
1407,Exchange and Derivatives Tech,2022-11-01
1407,Tech,
1408,,
1409,Information Security,
1410,Data Proetction & Privacy,2022-11-01
1410,Information Security,
1411,Data Proetction & Privacy,2022-11-01
1411,Information Security,
1412,Information Security,
1413,New Venture Operations,
1414,Data Intelligence,2022-11-01
1414,Data Intelligence,
1415,Growth,
1416,Information Security,
1417,Main App Tech,2022-11-01
1417,Tech,
1418,Marketing,2022-11-01
1418,Marketing,
1419,Exchange and Derivatives Tech,2022-11-01
1419,Tech,
1420,Community Management Department,
1421,CCO_Program Management Compliance,2022-11-01
1421,Compliance Operations,
1422,KYC,2023-01-01
1422,KYC,2022-11-01
1422,KYC,
1423,CCO_Infrastructure Compliance,2023-01-14
1423,CCO_Infrastructure Compliance,2022-11-01
1423,Compliance Operations,
1424,CCO_Infrastructure Compliance,2023-01-14
1424,CCO_Infrastructure Compliance,2022-11-01
1424,Compliance Operations,
1425,Risk Management,2023-01-01
1425,Risk Management,2022-11-01
1425,Risk Management,
1426,,
1427,Human Resources,
1428,Customer Experience,2023-01-01
1428,Customer Experience,2022-11-01
1428,Customer Experience,
1429,Customer Experience,
1430,Customer Experience,
1431,Customer Experience,2022-11-01
1431,Customer Experience,
1432,KYC,2022-04-04
1432,Customer Experience,
1433,,
1434,Customer Experience,
1435,Customer Experience,
1436,Customer Experience,
1437,Customer Experience,
1438,Customer Experience,2023-01-01
1438,Customer Experience,2022-11-01
1438,Customer Experience,
1439,Customer Experience,2023-01-01
1439,Customer Experience,2022-11-01
1439,Customer Experience,
1440,Customer Experience,
1441,Customer Experience,2023-01-01
1441,Customer Experience,2022-11-01
1441,Customer Experience,
1442,Customer Experience,
1443,Customer Experience,2023-01-01
1443,Customer Experience,2022-11-01
1443,Customer Experience,
1444,Customer Experience,2022-11-01
1444,Customer Experience,
1445,,
1446,Customer Experience,2023-01-01
1446,Customer Experience,2022-11-01
1446,Customer Experience,
1447,Customer Experience,2023-01-01
1447,Customer Experience,2022-11-01
1447,Customer Experience,
1448,,
1449,Customer Experience,
1450,Customer Experience,
1451,Customer Experience,
1452,Customer Experience,2023-01-01
1452,Customer Experience,2022-11-01
1452,Customer Experience,
1453,Customer Experience,
1454,Customer Experience,
1455,Customer Experience,
1456,Customer Experience,2023-01-01
1456,Customer Experience,2022-11-01
1456,Customer Experience,
1457,Customer Experience,2023-01-01
1457,Customer Experience,2022-11-01
1457,Customer Experience,
1458,Customer Experience,2023-01-01
1458,Customer Experience,2022-11-01
1458,Customer Experience,
1459,Customer Experience,
1460,,
1461,Customer Experience,2022-11-01
1461,Customer Experience,
1462,Customer Experience,2023-01-01
1462,Customer Experience,2022-11-01
1462,Customer Experience,
1463,,
1464,Customer Experience,2023-01-01
1464,Customer Experience,2022-11-01
1464,Customer Experience,
1465,Customer Experience,2023-01-01
1465,Customer Experience,2022-11-01
1465,Customer Experience,
1466,Customer Experience,
1467,Customer Experience,2023-01-01
1467,Customer Experience,2022-11-01
1467,Customer Experience,
1468,Customer Experience,
1469,Customer Experience,
1470,Customer Experience,
1471,,
1472,Customer Experience,2023-01-01
1472,Customer Experience,2022-11-01
1472,Customer Experience,
1473,,
1474,Customer Experience,
1475,Customer Experience,2023-01-01
1475,Customer Experience,2022-11-01
1475,Customer Experience,
1476,Customer Experience,
1477,Customer Experience,
1478,Customer Experience,2023-01-01
1478,Customer Experience,2022-11-01
1478,Customer Experience,
1479,Customer Experience,2023-01-01
1479,Customer Experience,2022-11-01
1479,Customer Experience,
1480,Customer Experience,2023-01-01
1480,Customer Experience,2022-11-01
1480,Customer Experience,
1481,Customer Experience,
1482,Customer Experience,
1483,,
1484,Customer Experience,2023-01-01
1484,Customer Experience,2022-11-01
1484,Customer Experience,
1485,Customer Experience,2023-01-01
1485,Customer Experience,2022-11-01
1485,Customer Experience,
1486,Customer Experience,2023-01-01
1486,Customer Experience,2022-11-01
1486,Customer Experience,
1487,Customer Experience,2023-01-01
1487,Customer Experience,2022-11-01
1487,Customer Experience,
1488,,
1489,Customer Experience,2022-11-01
1489,Customer Experience,
1490,Customer Experience,
1491,Customer Experience,2023-01-01
1491,Customer Experience,2022-11-01
1491,Customer Experience,
1492,,
1493,,
1494,,
1495,,
1496,Customer Experience,2023-01-01
1496,Customer Experience,2022-11-01
1496,Customer Experience,
1497,Customer Experience,2023-01-01
1497,Customer Experience,2022-11-01
1497,Customer Experience,
1498,Customer Experience,
1499,Customer Experience,2023-01-01
1499,Customer Experience,2022-11-01
1499,Customer Experience,
1500,,
1501,Product Management,2022-11-01
1501,Product,
1502,CCO_Program Management Compliance,2023-01-14
1502,CCO_Program Management Compliance,2022-11-01
1502,Compliance Program Management,
1503,Human Resources,
1504,Human Resources,
1505,New Venture Operations,
1506,Others Tech,2022-11-01
1506,Tech,
1507,Exchange and Derivatives Tech,2022-11-01
1507,Tech,
1508,Product QA,2022-11-01
1508,Product,
1509,,
1510,CCO_Local Market Compliance,2022-11-01
1510,Regulatory Compliance,
1511,Community Management,2022-11-01
1511,Community Management Department,
1512,Talent Acquisition,2022-11-01
1512,Human Resources,
1513,Finance and Accounting,2022-11-01
1513,Administration,
1514,KYC,2023-01-01
1514,KYC,2022-11-01
1514,KYC,
1515,KYC,2023-01-01
1515,KYC,2022-11-01
1515,KYC,
1516,KYC,2023-01-01
1516,KYC,2022-11-01
1516,KYC,
1517,CCO_Infrastructure Compliance,2023-01-14
1517,CCO_Infrastructure Compliance,2022-11-01
1517,Compliance Operations,2022-05-01
1517,Compliance Operations,
1518,KYC,2023-01-01
1518,KYC,2022-11-01
1518,KYC,
1519,,
1520,KYC,2022-11-01
1520,KYC,
1521,KYC,2023-01-01
1521,KYC,2022-11-01
1521,KYC,
1522,KYC,
1523,KYC,2023-01-01
1523,KYC,2022-11-01
1523,KYC,
1524,Exchange and Derivatives Tech,2022-11-01
1524,Tech,
1525,Institutional Sales,2022-11-01
1525,Institutional Sales and Account Management,
1526,,
1527,Exchange and Derivatives Tech,2022-11-01
1527,Tech,
1528,,
1529,Exchange and Derivatives Tech,2022-11-01
1529,Tech,
1530,Product QA,2022-11-01
1530,Product,
1531,,
1532,,
1533,Others Tech,2022-11-01
1533,Tech,
1534,Others Tech,2022-11-01
1534,Tech,
1535,Strategy and Research,2022-11-01
1535,New Venture Operations,
1536,Finance and Accounting,
1537,Customer Experience,2023-01-01
1537,Customer Experience,2022-11-01
1537,Customer Experience,
1538,Risk Management,2023-01-01
1538,Risk Management,2022-11-01
1538,Risk Management,
1539,Risk Management,2023-01-01
1539,Risk Management,2022-11-01
1539,Risk Management,
1540,Customer Experience,2023-01-01
1540,Customer Experience,2022-11-01
1540,Customer Experience,
1541,Customer Experience,2023-01-01
1541,Customer Experience,2022-11-01
1541,Customer Experience,
1542,Customer Experience,2023-01-01
1542,Customer Experience,2022-11-01
1542,Customer Experience,
1543,Customer Experience,
1544,Customer Experience,2023-01-01
1544,Customer Experience,2022-11-01
1544,Customer Experience,
1545,Customer Experience,
1546,,
1547,Customer Experience,
1548,Customer Experience,
1549,Customer Experience,2023-01-01
1549,Customer Experience,2022-11-01
1549,Customer Experience,
1550,Customer Experience,2023-01-01
1550,Customer Experience,2022-11-01
1550,Customer Experience,
1551,Customer Experience,2023-01-01
1551,Customer Experience,2022-11-01
1551,Customer Experience,
1552,Customer Experience,2023-01-01
1552,Customer Experience,2022-11-01
1552,Customer Experience,
1553,Customer Experience,2023-01-01
1553,Customer Experience,2022-11-01
1553,Customer Experience,
1554,,
1555,,
1556,Customer Experience,
1557,,
1558,,
1559,,
1560,Customer Experience,
1561,Customer Experience,
1562,Customer Experience,
1563,Customer Experience,2023-01-01
1563,Customer Experience,2022-11-01
1563,Customer Experience,
1564,,
1565,Customer Experience,2023-01-01
1565,Customer Experience,2022-11-01
1565,Customer Experience,
1566,Customer Experience,2023-01-01
1566,Customer Experience,2022-11-01
1566,Customer Experience,
1567,Customer Experience,2023-01-01
1567,Customer Experience,2022-11-01
1567,Customer Experience,
1568,Marketing,
1569,Marketing,
1570,Customer Experience,2023-01-01
1570,Customer Experience,2022-11-01
1570,Customer Experience,
1571,,
1572,Customer Experience,2023-01-01
1572,Customer Experience,2022-11-01
1572,Customer Experience,
1573,Customer Experience,2023-01-01
1573,Customer Experience,2022-11-01
1573,Customer Experience,
1574,Customer Experience,2023-01-01
1574,Customer Experience,2022-11-01
1574,Customer Experience,
1575,,
1576,Customer Experience,2023-01-01
1576,Customer Experience,2022-11-01
1576,Customer Experience,
1577,,
1578,,
1579,Customer Experience,
1580,,
1581,Customer Experience,
1582,Customer Experience,2023-01-01
1582,Customer Experience,2022-11-01
1582,Customer Experience,
1583,Customer Experience,
1584,Customer Experience,2023-01-01
1584,Customer Experience,2022-11-01
1584,Customer Experience,
1585,Customer Experience,
1586,Customer Experience,
1587,Customer Experience,2023-01-01
1587,Customer Experience,2022-11-01
1587,Customer Experience,
1588,Customer Experience,2023-01-01
1588,Customer Experience,2022-11-01
1588,Customer Experience,
1589,Customer Experience,2023-01-01
1589,Customer Experience,2022-11-01
1589,Customer Experience,
1590,,
1591,Customer Experience,2023-01-01
1591,Customer Experience,2022-11-01
1591,Customer Experience,
1592,Customer Experience,2023-01-01
1592,Customer Experience,2022-11-01
1592,Customer Experience,
1593,Customer Experience,2023-01-01
1593,Customer Experience,2022-11-01
1593,Customer Experience,
1594,,
1595,Customer Experience,2023-01-01
1595,Customer Experience,2022-11-01
1595,Customer Experience,
1596,Customer Experience,2023-01-01
1596,Customer Experience,2022-11-01
1596,Customer Experience,
1597,Customer Experience,2023-01-01
1597,Customer Experience,2022-11-01
1597,Customer Experience,
1598,Customer Experience,
1599,Customer Experience,
1600,,
1601,Customer Experience,2023-01-01
1601,Customer Experience,2022-11-01
1601,Customer Experience,
1602,Customer Experience,
1603,Risk Management,2023-01-01
1603,Risk Management,2022-11-01
1603,Risk Management,
1604,Customer Experience,
1605,Customer Experience,
1606,Customer Experience,2023-01-01
1606,Customer Experience,2022-11-01
1606,Customer Experience,
1607,,
1608,Customer Experience,2023-01-01
1608,Customer Experience,2022-11-01
1608,Customer Experience,
1609,Customer Experience,
1610,,
1611,Customer Experience,2023-01-01
1611,Customer Experience,2022-11-01
1611,Customer Experience,
1612,,
1613,,
1614,Customer Experience,2023-01-01
1614,Customer Experience,2022-11-01
1614,Customer Experience,
1615,Customer Experience,2023-01-01
1615,Customer Experience,2022-11-01
1615,Customer Experience,
1616,,
1617,,
1618,Customer Experience,2023-01-01
1618,Customer Experience,2022-11-01
1618,Customer Experience,
1619,Exchange and Derivatives Tech,2022-11-01
1619,Tech,
1620,Main App Tech,2023-01-01
1620,Cronos,2022-11-01
1620,Tech,
1621,Quant Trading Desk MO,2022-11-01
1621,Quant Trading,
1622,Information Security,
1623,Legal,2022-11-01
1623,Legal,
1624,CCO_Program Management Compliance,2023-01-14
1624,CCO_Program Management Compliance,2022-11-01
1624,Advisory Compliance,
1625,"Governance, Risk & Compliance",2022-11-01
1625,Information Security,
1626,Marketing,2022-11-01
1626,Marketing,
1627,CCO_Local Market Compliance,2022-11-01
1627,Regulatory Compliance,
1628,,
1629,Others Tech,2022-11-01
1629,Tech,
1630,Others Tech,2022-11-01
1630,Tech,
1631,Quant Trading Desk Flow,2023-02-07
1631,Quant Trading Desk Flow,2022-11-01
1631,Quant Trading,
1632,Main App Tech,2022-11-01
1632,Tech,
1633,,
1634,,
1635,Regulatory Compliance,
1636,Payments and Reconciliation,2023-01-01
1636,Payments and Reconciliation,2022-11-01
1636,Payments and Reconciliation,
1637,Human Resources,
1638,Risk Management,2023-01-01
1638,Risk Management,2022-11-01
1638,Risk Management,
1639,,
1640,Exchange and Derivatives Tech,2022-11-01
1640,Tech,
1641,Risk Management,2023-01-01
1641,Risk Management,2022-11-01
1641,Risk Management,
1642,Payments and Reconciliation,2023-01-01
1642,Payments and Reconciliation,2022-11-01
1642,Payments and Reconciliation,
1643,Payments and Reconciliation,2023-01-01
1643,Payments and Reconciliation,2022-11-01
1643,Payments and Reconciliation,
1644,Payments and Reconciliation,2023-01-01
1644,Payments and Reconciliation,2022-11-01
1644,Payments and Reconciliation,
1645,Product Management,2022-11-01
1645,Product,2022-09-01
1645,Global Business Solutions,
1646,Quant Trading Desk Quant,2022-11-01
1646,Quant Trading,
1647,Main App Tech,2022-11-01
1647,Tech,
1649,CCO_Program Management Compliance,2023-01-14
1649,CCO_Program Management Compliance,2022-11-01
1649,Advisory Compliance,
1650,,
1651,,
1652,Product Management,2022-11-01
1652,Product,2022-08-25
1652,New Venture Operations,
1653,Product Management,2022-11-01
1653,Product,2022-08-16
1653,New Venture Operations,
1654,NFT Tech,2023-01-14
1654,NFT Tech,2022-11-01
1654,New Venture Operations,
1655,Others Tech,2022-11-01
1655,Tech,
1656,Marketing,2023-01-16
1656,Growth,2022-11-01
1656,Growth,
1657,KYC,2023-01-01
1657,KYC,2022-11-01
1657,KYC,
1658,,
1659,Blockchain Security,2022-11-01
1659,Information Security,
1660,Customer Experience,2023-01-01
1660,Customer Experience,2022-11-01
1660,Customer Experience,
1661,,
1662,,
1663,,
1664,,
1665,,
1666,CCO_Infrastructure Compliance,2023-01-14
1666,CCO_Infrastructure Compliance,2022-11-01
1666,Compliance Operations,2022-05-09
1666,Customer Experience,
1667,KYC,2023-01-01
1667,KYC,2022-11-01
1667,KYC,
1668,KYC,
1669,KYC,2023-01-01
1669,KYC,2022-11-01
1669,KYC,
1670,KYC,
1671,KYC,
1672,,
1673,KYC,
1674,KYC,2023-01-01
1674,KYC,2022-11-01
1674,KYC,
1675,Customer Experience,2023-01-01
1675,Customer Experience,2022-11-01
1675,Customer Experience,
1676,KYC,2023-01-01
1676,KYC,2022-11-01
1676,KYC,
1677,Customer Experience,2023-01-01
1677,Customer Experience,2022-11-01
1677,Customer Experience,
1678,KYC,2023-01-01
1678,KYC,2022-11-01
1678,KYC,
1679,KYC,2023-01-01
1679,KYC,2022-11-01
1679,KYC,
1680,CCO_Infrastructure Compliance,2023-01-14
1680,CCO_Infrastructure Compliance,2022-11-01
1680,Compliance Operations,
1681,Customer Experience,2023-01-01
1681,Customer Experience,2022-11-01
1681,Customer Experience,
1682,Customer Experience,2023-01-01
1682,Customer Experience,2022-11-01
1682,Customer Experience,
1683,KYC,
1684,KYC,2023-01-01
1684,KYC,2022-11-01
1684,KYC,
1685,Customer Experience,2023-01-01
1685,Customer Experience,2022-11-01
1685,Customer Experience,
1686,KYC,
1687,KYC,2023-01-01
1687,KYC,2022-11-01
1687,KYC,
1688,,
1689,,
1690,KYC,
1691,Customer Experience,
1692,CCO_Local Market Compliance,2023-01-01
1692,KYC,2022-11-01
1692,KYC,
1693,Customer Experience,2023-01-01
1693,Customer Experience,2022-11-01
1693,Customer Experience,
1694,KYC,2023-01-01
1694,KYC,2022-11-01
1694,KYC,
1695,,
1696,CCO_Infrastructure Compliance,2023-01-14
1696,CCO_Infrastructure Compliance,2022-11-01
1696,Compliance Operations,
1697,KYC,2022-11-01
1697,KYC,
1698,,
1699,KYC,
1700,,
1701,KYC,
1702,KYC,2023-01-01
1702,KYC,2022-11-01
1702,KYC,
1703,KYC,
1704,,
1705,Customer Experience,
1706,Customer Experience,2022-11-01
1706,Customer Experience,
1707,Customer Experience,
1708,Customer Experience,2023-01-01
1708,Customer Experience,2022-11-01
1708,Customer Experience,
1709,KYC,
1710,,
1711,KYC,2023-01-01
1711,KYC,2022-11-01
1711,KYC,
1712,Customer Experience,
1713,Customer Experience,
1714,,
1715,,
1716,Customer Experience,
1717,,
1718,,
1719,Customer Experience,
1720,,
1721,Customer Experience,2023-01-01
1721,Customer Experience,2022-11-01
1721,Customer Experience,
1722,Customer Experience,2023-01-01
1722,Customer Experience,2022-11-01
1722,Customer Experience,
1723,,
1724,Customer Experience,
1725,Customer Experience,2023-01-01
1725,Customer Experience,2022-11-01
1725,Customer Experience,
1726,,
1727,Customer Experience,2023-01-01
1727,Customer Experience,2022-11-01
1727,Customer Experience,
1728,Customer Experience,
1729,,
1730,Customer Experience,
1731,Customer Experience,2023-01-01
1731,Customer Experience,2022-11-01
1731,Customer Experience,
1732,Customer Experience,2023-01-01
1732,Customer Experience,2022-11-01
1732,Customer Experience,
1733,Customer Experience,
1734,Customer Experience,
1735,,
1736,,
1737,Customer Experience,
1738,Customer Experience,
1739,Customer Experience,2023-01-01
1739,Customer Experience,2022-11-01
1739,Customer Experience,
1740,Customer Experience,2023-01-01
1740,Customer Experience,2022-11-01
1740,Customer Experience,
1741,Customer Experience,2023-01-01
1741,Customer Experience,2022-11-01
1741,Customer Experience,
1742,Customer Experience,
1743,Customer Experience,2023-01-01
1743,Customer Experience,2022-11-01
1743,Customer Experience,
1744,,
1745,Customer Experience,
1746,,
1747,Customer Experience,2023-01-01
1747,Customer Experience,2022-11-01
1747,Customer Experience,
1748,,
1749,,
1750,Customer Experience,
1751,Customer Experience,2023-01-01
1751,Customer Experience,2022-11-01
1751,Customer Experience,
1752,Customer Experience,
1753,Customer Experience,2022-11-01
1753,Customer Experience,
1754,,
1755,,
1756,Customer Experience,2023-01-01
1756,Customer Experience,2022-11-01
1756,Customer Experience,
1757,Customer Experience,
1758,Customer Experience,2023-01-01
1758,Customer Experience,2022-11-01
1758,Customer Experience,
1759,,
1760,,
1761,Customer Experience,2023-01-01
1761,Customer Experience,2022-11-01
1761,Customer Experience,
1762,,
1763,,
1764,Customer Experience,2023-01-01
1764,Customer Experience,2022-11-01
1764,Customer Experience,
1765,Customer Experience,2023-01-01
1765,Customer Experience,2022-11-01
1765,Customer Experience,
1766,Customer Experience,2023-01-01
1766,Customer Experience,2022-11-01
1766,Customer Experience,
1767,Customer Experience,
1768,,
1769,Customer Experience,
1770,Customer Experience,
1771,,
1772,Customer Experience,2023-01-01
1772,Customer Experience,2022-11-01
1772,Customer Experience,
1773,,
1774,Customer Experience,
1775,,
1776,Customer Experience,
1777,Customer Experience,
1778,Customer Experience,2023-01-01
1778,Customer Experience,2022-11-01
1778,Customer Experience,
1779,Customer Experience,
1780,Customer Experience,2023-01-01
1780,Customer Experience,2022-11-01
1780,Customer Experience,
1781,Customer Experience,
1782,Customer Experience,2023-01-01
1782,Customer Experience,2022-11-01
1782,Customer Experience,
1783,Customer Experience,2023-01-01
1783,Customer Experience,2022-11-01
1783,Customer Experience,
1784,,
1785,Customer Experience,2023-01-01
1785,Customer Experience,2022-11-01
1785,Customer Experience,
1786,Quant Trading Desk Delta 1,2022-11-01
1786,Quant Trading,
1787,Cronos,2022-11-01
1787,Blockchain,
1788,,
1789,Partnerships,2022-11-01
1789,Partnerships,
1790,Cronos,2022-11-01
1790,Product,
1791,,
1792,CCO_Program Management Compliance,2023-01-14
1792,CCO_Program Management Compliance,2022-11-01
1792,Compliance Operations,
1793,,
1794,Payments and Reconciliation,2023-01-01
1794,Payments and Reconciliation,2022-11-01
1794,Payments and Reconciliation,
1795,Payments and Reconciliation,2023-01-01
1795,Payments and Reconciliation,2022-11-01
1795,Payments and Reconciliation,
1796,Product Management,2022-11-01
1796,Product,
1797,"Governance, Risk & Compliance",2022-11-01
1797,Information Security,
1798,Exchange and Derivatives Tech,2022-11-01
1798,Tech,
1799,Marketing,
1800,,
1801,Exchange and Derivatives Tech,2022-11-01
1801,Tech,
1802,CCO_Local Market Compliance,2022-11-01
1802,Regulatory Compliance,
1803,Administration,2022-11-01
1803,Administration,
1804,Marketing,2023-01-16
1804,Creative,2022-11-01
1804,Creative,
1805,Marketing,
1806,Others Tech,2022-11-01
1806,Tech,
1807,Information Security,
1808,Product Management,2022-11-01
1808,Product,
1809,Risk Management,2023-01-01
1809,Risk Management,2022-11-01
1809,Risk Management,
1810,Product Management,2022-11-01
1810,Product,
1811,Product QA,2022-11-01
1811,Product,
1812,KYC,2023-01-01
1812,KYC,2022-11-01
1812,KYC,
1813,KYC,2023-01-01
1813,KYC,2022-11-01
1813,KYC,
1814,KYC,
1815,KYC,2023-01-01
1815,KYC,2022-11-01
1815,KYC,
1816,KYC,
1817,KYC,
1818,KYC,
1819,KYC,2023-01-01
1819,KYC,2022-11-01
1819,KYC,
1820,KYC,
1821,KYC,
1822,KYC,2023-01-01
1822,KYC,2022-11-01
1822,KYC,
1823,Customer Experience,
1824,Customer Experience,
1825,Customer Experience,
1826,CCO_Infrastructure Compliance,2023-01-14
1826,CCO_Infrastructure Compliance,2022-11-01
1826,Compliance Operations,
1827,Customer Experience,2023-01-01
1827,Customer Experience,2022-11-01
1827,Customer Experience,
1828,Customer Experience,2023-01-01
1828,Customer Experience,2022-11-01
1828,Customer Experience,
1829,Customer Experience,2023-01-01
1829,Customer Experience,2022-11-01
1829,Customer Experience,
1830,Compliance Operations,
1831,Customer Experience,2023-01-01
1831,Customer Experience,2022-11-01
1831,Customer Experience,
1832,Customer Experience,
1833,Customer Experience,
1834,,
1835,Customer Experience,2023-01-01
1835,Customer Experience,2022-11-01
1835,Customer Experience,
